
dc (V)            getData("M0:gm    getData("M0:id    getData("M0:cg    getData("M0:gd    getData("M0:vt    getData("M0:vd
 6.66000e-01       1.07015e-04       1.04944e-05       3.08768e-15       6.59704e-07       5.77359e-01       1.52816e-01      
 6.75000e-01       1.13924e-04       1.14888e-05       3.11268e-15       7.02622e-07       5.77359e-01       1.58668e-01      
 6.84000e-01       1.20961e-04       1.25459e-05       3.13613e-15       7.46899e-07       5.77359e-01       1.64625e-01      
 6.93000e-01       1.28105e-04       1.36669e-05       3.15811e-15       7.92504e-07       5.77359e-01       1.70677e-01      
 7.02000e-01       1.35334e-04       1.48526e-05       3.17870e-15       8.39408e-07       5.77359e-01       1.76816e-01      
 7.11000e-01       1.42628e-04       1.61036e-05       3.19800e-15       8.87578e-07       5.77359e-01       1.83035e-01      
 7.20000e-01       1.49966e-04       1.74205e-05       3.21608e-15       9.36979e-07       5.77359e-01       1.89326e-01      
 7.29000e-01       1.57329e-04       1.88035e-05       3.23302e-15       9.87577e-07       5.77359e-01       1.95680e-01      
 7.38000e-01       1.64699e-04       2.02529e-05       3.24890e-15       1.03934e-06       5.77359e-01       2.02092e-01      
 7.47000e-01       1.72059e-04       2.17685e-05       3.26379e-15       1.09222e-06       5.77359e-01       2.08553e-01      
 7.56000e-01       1.79394e-04       2.33503e-05       3.27776e-15       1.14620e-06       5.77359e-01       2.15057e-01      
 7.65000e-01       1.86690e-04       2.49979e-05       3.29087e-15       1.20123e-06       5.77359e-01       2.21598e-01      
 7.74000e-01       1.93934e-04       2.67109e-05       3.30319e-15       1.25728e-06       5.77359e-01       2.28170e-01      
 7.83000e-01       2.01116e-04       2.84889e-05       3.31476e-15       1.31433e-06       5.77359e-01       2.34766e-01      
 7.92000e-01       2.08226e-04       3.03312e-05       3.32565e-15       1.37233e-06       5.77359e-01       2.41383e-01      
 8.01000e-01       2.15254e-04       3.22370e-05       3.33591e-15       1.43126e-06       5.77359e-01       2.48015e-01      
 8.10000e-01       2.22195e-04       3.42058e-05       3.34558e-15       1.49108e-06       5.77359e-01       2.54657e-01      
 8.19000e-01       2.29041e-04       3.62365e-05       3.35470e-15       1.55178e-06       5.77359e-01       2.61306e-01      
